pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	760	24	14	8	6	10	7	8	9	7	7	6	67
Home---atwork	67	24	9	0	1	0	0	0	0	1	1	0	17
Home---eatout	244	233	81	66	67	60	56	69	61	53	49	45	549
Home---escort	888	756	241	157	126	128	107	115	119	100	89	78	957
Home---othdiscr	294	229	124	98	119	114	117	100	107	92	98	89	1059
Home---othmaint	398	317	122	96	91	95	99	95	93	93	85	83	746
Home---school	144	242	350	314	286	280	276	261	244	217	193	170	1915
Home---shopping	620	514	197	116	113	110	118	144	123	102	101	109	1040
Home---social	138	123	53	41	41	41	36	35	46	30	28	25	319
Home---univ	90	79	24	27	21	19	22	21	16	18	21	11	168
Home---work	196	207	187	222	228	251	298	329	343	360	345	359	4427
Work---Home	27	17	26	38	58	61	74	52	74	64	61	59	1021
Work---Work	3	5	2	0	0	0	0	1	0	0	1	0	2
Work---atwork	2	4	1	1	0	1	0	0	1	0	0	0	3
Work---eatout	48	20	9	2	4	2	3	4	1	1	2	2	45
Work---escort	47	19	4	6	4	6	7	2	2	5	4	2	46
Work---othdiscr	32	16	5	1	2	1	0	1	0	2	1	0	18
Work---othmaint	53	29	5	2	6	3	4	3	3	4	5	0	49
Work---shopping	76	28	14	0	3	2	2	7	0	5	7	2	68
Work---social	21	12	2	2	0	1	0	0	0	0	0	1	10
Work---univ	0	1	0	0	0	0	0	0	0	0	0	0	1
Work---work	40	24	9	5	0	1	7	4	4	4	4	6	106
atwork---Work	584	424	216	145	110	91	82	60	69	62	38	44	392
atwork---atwork	11	2	0	1	0	0	0	0	0	0	0	0	1
atwork---eatout	48	36	8	4	5	1	1	1	1	0	0	0	9
atwork---escort	10	8	1	1	1	0	0	0	0	0	1	0	1
atwork---othdiscr	3	2	0	0	0	0	0	0	0	0	0	0	0
atwork---othmaint	33	14	6	3	2	1	0	0	1	0	0	1	3
atwork---shopping	29	16	8	0	1	0	0	0	2	0	0	1	4
atwork---social	3	3	0	0	0	0	0	0	0	0	0	0	0
atwork---univ	1	0	0	0	0	0	0	0	0	0	0	0	0
atwork---work	38	17	1	2	2	1	4	2	1	3	6	0	34
eatout---Home	310	244	93	77	93	78	81	85	90	76	70	52	965
eatout---Work	17	18	10	8	5	1	5	7	8	3	3	3	30
eatout---atwork	14	12	3	3	2	2	2	0	2	2	0	1	8
eatout---eatout	55	29	4	3	3	2	2	2	1	0	1	2	21
eatout---escort	67	35	15	3	4	2	1	4	1	1	4	3	24
eatout---othdiscr	50	39	6	3	2	3	4	2	3	1	2	2	37
eatout---othmaint	64	43	7	4	4	3	1	3	3	1	0	2	22
eatout---school	1	3	0	2	2	1	1	2	3	0	2	1	19
eatout---shopping	151	75	29	10	6	2	7	3	4	9	8	0	61
eatout---social	28	22	2	3	3	2	2	1	1	3	0	0	13
eatout---univ	3	1	2	0	0	0	0	0	0	0	0	1	1
eatout---work	27	17	7	5	4	8	5	9	10	5	5	7	151
escort---Home	662	522	181	113	122	116	90	86	97	85	85	81	984
escort---Work	3	2	0	1	1	1	3	0	1	1	0	0	4
escort---atwork	13	6	6	2	2	3	0	0	0	1	1	0	9
escort---eatout	104	60	18	7	0	0	1	2	3	2	0	2	43
escort---escort	218	133	41	11	5	3	5	5	6	3	8	3	55
escort---othdiscr	95	55	12	5	7	2	5	4	3	3	5	5	61
escort---othmaint	128	65	18	4	3	1	3	3	4	6	1	2	45
escort---school	7	13	12	9	6	14	8	13	12	6	3	10	105
escort---shopping	197	131	30	10	7	5	5	5	5	3	5	4	74
escort---social	48	21	6	3	3	2	5	0	2	1	2	4	26
escort---univ	12	11	2	4	0	1	2	2	0	1	1	0	13
escort---work	44	45	26	17	20	18	29	27	27	20	23	20	552
othdiscr---Home	324	215	122	91	136	114	112	108	97	87	86	62	1134
othdiscr---Work	2	2	0	0	0	0	0	0	0	0	0	1	0
othdiscr---atwork	3	0	0	0	0	0	0	0	0	0	0	0	1
othdiscr---eatout	122	60	17	4	4	3	3	2	1	5	1	3	30
othdiscr---escort	96	50	15	2	2	6	0	0	6	1	1	0	22
othdiscr---othdiscr	87	42	11	2	4	2	2	2	3	2	1	1	40
othdiscr---othmaint	86	50	6	3	1	1	1	3	3	3	1	0	18
othdiscr---school	2	5	6	3	1	0	0	5	3	2	1	1	25
othdiscr---shopping	202	114	34	6	4	7	0	4	8	3	4	1	51
othdiscr---social	59	29	5	4	0	2	0	0	2	1	2	0	15
othdiscr---univ	2	0	1	0	0	0	0	0	0	0	0	0	4
othdiscr---work	15	6	4	3	0	2	2	5	4	5	6	4	75
othmaint---Home	314	249	103	95	98	105	117	111	105	86	73	74	1011
othmaint---Work	14	8	1	7	6	3	3	2	5	2	1	1	11
othmaint---atwork	15	9	7	3	3	3	3	2	3	2	1	2	19
othmaint---eatout	103	57	17	7	4	1	1	0	2	5	1	5	37
othmaint---escort	100	69	11	4	4	2	4	2	4	3	1	3	39
othmaint---othdiscr	77	33	9	3	4	0	2	1	4	3	1	3	36
othmaint---othmaint	121	66	16	3	5	4	2	9	7	4	1	3	62
othmaint---school	0	1	3	0	1	0	4	1	1	0	1	0	23
othmaint---shopping	229	125	36	19	9	13	16	7	12	8	7	7	124
othmaint---social	35	18	4	3	2	0	4	2	0	0	2	3	19
othmaint---univ	10	1	1	0	0	0	0	0	0	0	0	1	7
othmaint---work	37	17	5	6	6	5	6	9	3	5	6	3	151
school---Home	154	225	265	237	267	248	273	226	217	173	144	148	1665
school---eatout	46	30	10	7	4	1	2	6	4	5	6	1	34
school---escort	60	41	22	9	2	5	6	3	13	2	4	5	70
school---othdiscr	81	47	18	11	5	3	5	3	6	3	5	5	56
school---othmaint	46	21	5	2	5	2	4	1	4	1	2	1	38
school---shopping	34	21	8	7	3	3	2	5	2	2	3	4	47
school---social	31	14	6	4	4	2	3	3	1	4	2	7	30
shopping---Home	643	513	215	123	157	164	171	155	160	142	134	136	1881
shopping---Work	11	8	8	1	1	3	1	1	2	1	2	2	12
shopping---atwork	8	3	3	5	1	1	2	2	1	1	0	0	7
