pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	747	37	13	5	7	10	7	8	9	7	7	6	69
Home---atwork	67	24	9	0	1	0	0	0	0	1	1	0	17
Home---eatout	238	241	84	68	66	60	56	66	62	53	49	45	546
Home---escort	890	757	250	149	125	130	106	113	119	100	91	79	952
Home---othdiscr	293	228	130	102	120	114	116	101	102	95	93	90	1056
Home---othmaint	406	318	118	101	86	93	99	93	93	92	83	81	750
Home---school	145	266	337	305	284	278	278	262	241	216	195	171	1914
Home---shopping	630	507	194	116	115	111	118	142	125	104	98	110	1037
Home---social	136	125	52	39	38	41	38	36	46	33	27	26	319
Home---univ	91	76	26	27	21	19	22	21	16	19	21	11	167
Home---work	197	207	193	220	228	256	296	328	341	359	341	366	4420
Work---Home	26	20	25	37	61	60	73	51	74	63	61	57	1023
Work---Work	3	5	2	0	0	0	0	1	0	0	1	0	2
Work---atwork	2	4	1	1	0	1	0	0	1	0	0	0	3
Work---eatout	49	19	9	2	4	2	3	4	1	1	2	2	45
Work---escort	48	19	4	6	4	6	6	2	2	5	4	2	46
Work---othdiscr	32	16	5	1	2	1	0	1	0	2	1	0	18
Work---othmaint	53	30	4	2	6	3	4	3	3	4	5	0	49
Work---shopping	75	29	14	0	3	2	2	7	0	5	7	2	68
Work---social	21	13	1	1	1	1	0	0	0	0	0	1	10
Work---univ	0	1	0	0	0	0	0	0	0	0	0	0	1
Work---work	40	24	9	5	1	1	7	4	4	4	4	6	106
atwork---Work	589	420	211	144	112	96	80	60	70	63	38	44	390
atwork---atwork	11	2	0	1	0	0	0	0	0	0	0	0	1
atwork---eatout	48	35	9	4	5	1	1	1	1	0	0	0	9
atwork---escort	10	8	1	1	1	0	0	0	0	0	1	0	1
atwork---othdiscr	3	2	0	0	0	0	0	0	0	0	0	0	0
atwork---othmaint	33	14	6	3	2	1	0	0	1	0	0	1	3
atwork---shopping	29	16	8	0	1	0	0	0	2	0	0	1	4
atwork---social	3	3	0	0	0	0	0	0	0	0	0	0	0
atwork---univ	1	0	0	0	0	0	0	0	0	0	0	0	0
atwork---work	37	18	1	2	2	1	3	2	1	4	6	0	34
eatout---Home	306	247	96	79	94	80	81	83	89	76	70	51	962
eatout---Work	17	18	10	8	5	1	5	7	8	3	3	2	31
eatout---atwork	14	13	3	3	1	2	2	0	2	2	0	1	8
eatout---eatout	56	28	3	3	3	2	2	2	1	0	1	2	21
eatout---escort	66	36	14	4	4	2	1	4	1	1	4	3	24
eatout---othdiscr	50	39	6	3	2	3	4	2	3	1	2	2	37
eatout---othmaint	65	41	7	4	4	3	1	3	3	1	0	2	22
eatout---school	1	3	0	2	3	0	1	2	3	0	2	1	19
eatout---shopping	151	75	30	10	6	2	7	3	4	9	8	0	60
eatout---social	28	22	2	3	3	2	1	2	1	3	0	0	13
eatout---univ	3	1	2	0	0	0	0	0	0	0	0	1	1
