pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	718	62	14	7	6	10	7	8	9	7	7	7	70
Home---atwork	65	26	10	0	1	0	0	0	0	1	0	0	17
Home---eatout	246	234	100	67	69	57	55	65	61	50	46	44	538
Home---escort	887	773	253	157	128	124	111	108	117	97	87	75	944
Home---othdiscr	282	249	133	107	120	107	111	97	101	95	93	88	1055
Home---othmaint	391	333	135	110	87	94	98	93	89	88	81	76	738
Home---school	145	269	358	317	284	272	271	256	238	216	190	162	1914
Home---shopping	594	542	214	127	115	108	118	136	119	101	93	105	1035
Home---social	134	128	62	42	37	40	36	33	43	33	27	26	315
Home---univ	88	78	27	27	21	19	22	20	16	19	22	9	169
Home---work	197	213	225	223	229	252	286	321	340	357	339	359	4411
Work---Home	26	20	26	36	59	60	74	53	74	65	59	57	1022
Work---Work	3	5	2	0	0	0	0	1	0	0	1	0	2
Work---atwork	2	4	1	1	0	1	0	0	1	0	0	0	3
Work---eatout	49	19	9	2	4	2	3	4	1	1	2	2	45
Work---escort	48	19	4	6	4	6	6	2	2	5	4	2	46
Work---othdiscr	31	16	5	2	2	1	0	1	0	2	1	0	18
Work---othmaint	54	30	4	2	6	3	4	3	2	4	5	0	49
Work---shopping	75	30	14	0	3	2	2	7	0	5	7	2	67
Work---social	22	12	2	2	0	0	0	0	0	0	0	1	10
Work---univ	0	1	0	0	0	0	0	0	0	0	0	0	1
Work---work	40	25	8	5	0	1	7	4	3	4	4	5	108
atwork---Work	594	425	211	151	109	90	79	57	67	60	38	44	392
atwork---atwork	11	2	0	1	0	0	0	0	0	0	0	0	1
atwork---eatout	48	36	8	4	5	1	1	1	1	0	0	0	9
atwork---escort	10	8	1	1	1	0	0	0	0	0	1	0	1
atwork---othdiscr	3	2	0	0	0	0	0	0	0	0	0	0	0
atwork---othmaint	33	14	6	3	2	1	0	0	1	0	0	1	3
atwork---shopping	28	17	8	0	1	0	0	0	2	0	0	1	4
atwork---social	3	3	0	0	0	0	0	0	0	0	0	0	0
atwork---univ	1	0	0	0	0	0	0	0	0	0	0	0	0
atwork---work	39	16	1	2	2	1	4	2	1	3	6	0	34
eatout---Home	304	262	102	79	91	80	82	82	84	75	69	50	952
eatout---Work	17	18	10	8	5	1	5	7	8	3	3	3	30
eatout---atwork	14	13	3	2	1	2	2	1	2	2	0	1	8
eatout---eatout	56	28	3	3	3	2	2	2	1	0	1	2	21
eatout---escort	68	33	15	4	4	2	1	4	1	1	4	3	24
eatout---othdiscr	49	39	7	3	2	3	4	2	3	1	2	2	37
eatout---othmaint	64	43	8	4	4	3	1	3	2	1	0	3	21
eatout---school	2	2	0	3	2	1	1	2	3	0	2	1	18
eatout---shopping	152	74	29	10	6	2	7	3	4	9	8	0	60
eatout---social	27	23	2	3	3	2	1	1	1	3	0	0	14
eatout---univ	3	1	2	0	0	0	0	0	0	0	0	1	1
eatout---work	26	17	7	8	4	7	5	9	10	5	4	7	151
escort---Home	658	531	191	115	126	113	88	87	93	80	82	81	978
escort---Work	2	3	0	1	1	1	2	0	1	1	0	1	4
escort---atwork	13	7	7	2	1	3	0	0	0	1	1	0	8
escort---eatout	100	65	17	7	1	0	1	2	3	2	0	2	42
escort---escort	220	130	44	11	5	3	5	5	6	3	7	3	53
escort---othdiscr	92	57	13	6	7	2	5	4	3	3	5	5	60
escort---othmaint	129	66	18	3	3	1	3	3	4	6	1	1	46
escort---school	7	15	11	10	5	14	8	12	12	6	3	10	105
escort---shopping	192	133	34	9	7	5	5	4	5	3	5	4	74
escort---social	44	26	6	3	3	2	3	1	2	1	2	4	26
escort---univ	12	11	2	4	0	1	1	2	0	1	1	0	13
escort---work	43	47	23	19	21	17	28	26	27	21	23	21	552
othdiscr---Home	319	225	138	100	137	109	107	101	98	84	84	59	1123
othdiscr---Work	2	2	0	0	0	0	0	0	0	0	0	1	0
othdiscr---atwork	2	1	0	0	0	0	0	0	0	0	0	0	1
othdiscr---eatout	123	59	18	4	4	3	3	2	1	5	1	3	30
othdiscr---escort	97	50	15	2	2	5	0	0	6	1	1	0	22
othdiscr---othdiscr	85	42	12	2	4	2	3	2	3	2	1	1	40
